用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
XYGL_12,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索学号,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
姓名：天天
学号：WNCD201805039
班级:WNCDC035
方向:测试
最新状态:转就业
3.存在B信息
姓名：想想
学号：WNCD201805034
班级:WNCDC035
方向:测试
最新状态:转就业
4.存在C信息
姓名：天天
学号：WNCD201805033
班级:WNCDC035
方向:测试
最新状态:转就业
","1.输入学号WNCD201805039
2.点击搜索按钮","1.学号输入成功
2.显示A信息",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_13,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索班级第一个方向测试最新状态转就业姓名学号,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
姓名：天天
学号：WNCD201805039
班级:WNCDC035
方向:测试
最新状态:转就业
3.存在B信息
姓名：想想
学号：WNCD201805034
班级:WNCDC035
方向:测试
最新状态:转就业
4.存在C信息
姓名：天天
学号：WNCD201805033
班级:WNCDC035
方向:测试
最新状态:转就业","1.班级选择第一个
2.方向选择测试
3.最新状态选择转就业
4.姓名输入天天
5.学号输入WNCD201805039
6.点击搜索按钮","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.姓名输入成功
5.学号输入成功
6.显示A信息",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_14,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索检查班级下拉框内容是否顺序排列,1.教学主管账号登陆_进入学员管理_解密_进入基本信息,"1.点击班级下拉框
2.查看内容","1.班级下拉框点击成功
2.班级为顺序排列",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_15,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_修改界面检查,1.教学主管账号登陆_进入学员管理_解密_进入基本信息,"1.点击修改按钮
2.界面检查","1.弹出修改学员基本信息框
2.界面完整，数据显示正常",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_16,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_各内容能否输入或选择（班级在班级管理内修改）,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.对各个输入框进行输入
2.对各个下拉框进行选择","1.输入框能正常输入，数据显示正常
2.下拉框能正常选择，数据显示正常",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_17,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话11位数字状态随机来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：13945678765
4.修改最新状态：未开班
5.修改来源：智联招聘
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改成功，弹出提示框：“学员信息修改成功”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_18,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_姓名空电话11位数字未开班来源最后一个,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：空
3.修改电话：15678999999
4.修改最新状态：未开班
5.修改来源：智联招聘
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“姓名输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_19,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话10位数字已退学来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：1567899999
4.修改最新状态：已退学
5.修改来源：其他
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“电话输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_20,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话12位数字在校学习来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：156789999990
4.修改最新状态：在校学习
5.修改来源：其他
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“电话输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_21,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话字母转就业来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：fsafdsfs
4.修改最新状态：转就业
5.修改来源：其他
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“电话输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_22,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话汉字已就业来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：你好
4.修改最新状态：已就业
5.修改来源：其他
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“电话输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_23,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话特殊字符已休学来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：你好
4.修改最新状态：已休学
5.修改来源：其他
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“电话输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_24,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_有姓名电话空已失联来源随机,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：空
4.修改最新状态：已失联
5.修改来源：其他
6.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.最新状态修改成功，信息展示正常
5.来源修改成功，信息展示正常
6.修改失败，弹出提示框：“电话输入错误”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_25,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_必填项随机填一半,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改姓名：张三
3.修改电话：空
4.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.姓名修改成功，信息展示正常
3.电话修改成功，信息展示正常
4.修改失败，弹出提示框：“修改信息不完整”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_26,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息修改_填写全部非必填项,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入基本信息子模块
4.存在1条学员信息","1.点击学员信息修改按钮
2.修改学号：WNCD2018059
3.性别：女
4.E-mail：56789765@qq.com
5.QQ：56789765
6.联系人：李四
7.紧急电话：15678987890
8.学校：清华大学
9.学历：本科
10.专业：计算机应用
11.身份证：1234567898767898
12.毕业时间：2016-06-30
13.年龄：25
14.点击保存按钮","1.按钮点击成功，弹出修改学员信息页面
2.学号修改成功，信息展示正常
3.性别修改成功，信息展示正常
4.E-mail修改成功，信息展示正常
5.QQ修改成功，信息展示正常
6.联系人修改成功，信息展示正常
7.紧急电话修改成功，信息展示正常
8.学校修改成功，信息展示正常
9.学历修改成功，信息展示正常
10.专业修改成功，信息展示正常
11.身份证修改成功，信息展示正常
12.毕业时间修改成功，信息展示正常
13.年龄修改成功，信息展示正常
14.修改失败，弹出提示框：“修改失败”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_27,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_跳转翻页功能检查,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在25条学员基本信息
","1.数据条数检查
2.点击下一页按钮
3.点击上一页按钮
4.点击3按钮
5.点击1按钮","1.当页数据显示10条
2.跳转到下一页显示10条数据
3.跳转到上一页显示10条数据
4.跳转到第3页显示5条数据
5.跳转到第1页显示10条数据",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_28,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤_界面检查,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块",1.界面检查,1.界面完整，信息显示正常,,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_29,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤搜索_姓名功能检查,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在学员信息A
姓名：张三
存在学员信息B
姓名：李四","1.输入姓名：张三
2.点击搜索按钮","1.姓名输入成功，信息展示正常
2.搜索成功，展示学员信息A",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_30,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤点名_学生信息为默认,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在1条学员信息",1.点击学员信息确定按钮,1.考勤成功，弹出提示框：“考勤完毕”,,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_31,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤点名_学生信息为迟到,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在1条学员信息","1.选择考勤状态：迟到
2.点击学员信息确定按钮","1.选择考勤状态成功，信息展示正常
2.考勤成功，弹出提示框：“考勤完毕”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_32,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤点名_学生信息为面试,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在1条学员信息","1.选择考勤状态：面试
2.点击学员信息确定按钮","1.选择考勤状态成功，信息展示正常
2.考勤成功，弹出提示框：“考勤完毕”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_33,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤点名_学生信息为旷课,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在1条学员信息","1.选择考勤状态：旷课
2.点击学员信息确定按钮","1.选择考勤状态成功，信息展示正常
2.考勤成功，弹出提示框：“考勤完毕”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_34,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤点名_学生信息为请假,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在1条学员信息","1.选择考勤状态：请假
2.点击学员信息确定按钮","1.选择考勤状态成功，信息展示正常
2.考勤成功，弹出提示框：“考勤完毕”",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_35,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日考勤批量_批量考勤功能检查,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在10条学员信息","1.点击批量考勤按钮
2.点击确定按钮","1.点击批量考勤按钮成功，弹出信息提示弹出框
2.考勤成功，弹出提示框：“考勤完毕”",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_36,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考_界面检查,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日晨考子模块",1.界面检查,1.界面完整，信息显示正常,,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_37,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考_某角色不考勤名单检查,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日考勤子模块
4.存在学员信息A
姓名：张三
4.存在学员信息B
姓名：李四","1.张三不打考勤，进入今日晨考子模块
2.输入姓名：张三
3.点击搜索按钮","1.进入今日考勤子模块成功
2.输入姓名成功，信息展示正常
3.搜索失败，弹出提示框：“请先完成当日考勤,再进行晨考”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_38,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考搜索_姓名功能检查,"1.使用讲师账号登陆WoniuBoss系统
2.进入学员管理模块，已解密
3.进入今日晨考子模块
4.存在已考勤的学员信息A
姓名：张三
5.存在已考勤的学员信息B
姓名：李四","1.输入姓名：张三
2.点击搜索按钮","1.姓名输入成功，信息展示正常
2.搜索成功，展示学员信息A",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_39,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_界面检查,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块",1.界面检查,1.界面完整，数据显示正常,,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_40,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_分数小于0的数字,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.选择方式：随堂问答
3.输入分数：-1
4.输入题目：1+1=?
5.点击保存按钮","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存失败，弹出提示框：“分数输入有误”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_41,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_分数大于0的数字,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.选择方式：随堂笔试
3.输入分数：100
4.输入题目：1+1=?
5.点击保存按钮","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存成功，返回今日晨考页面",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_42,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_分数汉字,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.方选择式：学生讲解
3.输入分数：一百
4.输入题目：1+1=?
5.点击保存按钮","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存失败，弹出提示框：“分数输入有误”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_43,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_分数字母,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.选择方式：在线考试
3.输入分数：hundred
4.输入题目：1+1=?
5.点击保存按钮","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存失败，弹出提示框：“分数输入有误”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_44,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_分数特殊字符,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.选择方式：随堂作业
3.输入分数：@#￥%
4.输入题目：1+1=?
5.点击保存按钮","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存失败，弹出提示框：“分数输入有误”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_45,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_分数为空,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.选择方式：其他方式
3.输入分数：
4.输入题目：1+1=?
5.点击保存按钮","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存失败，弹出提示框：“分数输入有误”",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_46,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_今日晨考录入_打分后界面检查,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入今日晨考子模块
3.存在1条学员信息","1.点击学员信息的晨考按钮
2.选择方式：学生讲解
3.输入分数：100
4.输入题目：1+1=?
5.点击保存按钮
6.检查界面","1.晨考按钮点击成功，弹出“晨考记录录入”界面
2.方式选择成功，信息展示正常
3.分数输入成功，信息展示正常
4.题目输入成功，信息展示正常
5.保存成功，返回今日晨考页面
6.界面晨考按钮颜色变淡，无法点击",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_47,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_晨考记录查询各输入框下拉框功能检查,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入晨考记录子模块","1.对各个输入框进行输入
2.对各个下拉框进行选择","1.输入框能正常输入，数据显示正常
2.下拉框能正常选择，数据显示正常",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_48,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_晨考记录查询_界面检查,"1.使用讲师账号登陆WoniuBoss系统，进入学员管理模块，已解密
2.进入晨考记录子模块",1.界面检查,1.界面完整，数据显示正常,,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
